rank,civilization,rating_effect,all_games,all_win_rate,top100_games,top100_win_rate
1,Spanish,161,14176,54.3,175,53.1
2,Malians,84,14729,52.0,195,49.7
3,Japanese,83,14436,53.0,194,49.5
4,Celts,83,14553,52.4,188,58.0
5,Malay,81,14551,52.1,186,49.5
6,Italians,74,14506,52.1,183,54.1
7,Mongols,60,14341,51.5,198,50.5
8,Turks,54,14737,51.2,187,53.5
9,Persians,52,14430,50.6,195,49.2
10,Khmer,49,14336,51.3,199,55.8
11,Poles,47,14050,51.2,211,48.8
12,Bohemians,46,14185,51.7,193,53.9
13,Huns,37,14522,51.1,170,49.4
14,Maya,34,14226,51.2,208,45.2
15,Goths,29,14421,51.2,199,47.2
16,Romans,29,8860,50.9,172,47.7
17,Tupi,28,1408,50.6,73,53.4
18,Slavs,21,14550,50.6,166,49.4
19,Hindustanis,21,14442,50.1,191,49.7
20,Portuguese,20,14245,50.7,178,55.1
21,Dravidians,20,13947,50.2,177,46.9
22,Burmese,19,14602,50.3,192,54.7
23,Bengalis,17,14196,50.2,208,51.9
24,Gurjaras,15,14295,50.1,196,50.0
25,Chinese,13,14292,50.0,192,49.0
26,Britons,11,14448,50.1,198,53.5
27,Koreans,6,14392,49.6,178,48.3
28,Wu,3,4435,49.8,111,56.8
29,Cumans,-2,14302,49.9,204,53.4
30,Armenians,-7,9294,49.4,192,45.8
31,Burgundians,-8,14101,49.4,180,54.4
32,Lithuanians,-17,14455,49.3,178,44.9
33,Vietnamese,-17,14456,48.9,204,52.9
34,Magyars,-19,14468,48.8,187,53.5
35,Bulgarians,-25,14532,49.4,212,45.3
36,Jurchens,-29,4582,48.0,115,52.2
37,Sicilians,-31,14190,49.0,176,52.3
38,Teutons,-36,14395,49.0,190,54.7
39,Ethiopians,-37,14465,48.7,199,47.2
40,Franks,-42,14794,48.7,206,50.0
41,Berbers,-43,14562,48.4,218,51.8
42,Aztecs,-44,14347,48.2,211,47.4
43,Inca,-45,14306,49.1,179,48.6
44,Saracens,-54,14578,48.7,187,52.9
45,Vikings,-55,14413,48.0,193,36.8
46,Byzantines,-59,14558,47.6,184,40.8
47,Shu,-61,4396,47.2,107,46.7
48,Muisca,-81,1416,46.2,77,45.5
49,Khitans,-85,4523,47.0,98,45.9
50,Mapuche,-90,1408,45.7,54,46.3
51,Wei,-100,4461,46.2,97,38.1
52,Tatars,-101,14618,46.5,163,54.6
53,Georgians,-109,9071,46.9,164,45.7
