rank,handle,rating,uncertainty,games,win_rate,activity
1,_Barles_,3071,76,794,61.2,last 2 weeks
2,wR.ACCM,3015,51,1807,61.3,last 2 weeks
3,Valas,3004,50,3034,64.1,last 2 weeks
4,Oni.TaToH,2990,82,675,60.0,last 2 weeks
5,Ganji,2877,54,2256,58.9,last 2 weeks
6,abundzuehalt,2856,41,3415,61.0,last 2 weeks
7,Oni.TheViper,2846,68,936,57.6,last 2 weeks
8,OS+ | slam,2836,54,2051,56.0,last 2 weeks
9,Oni.FreakinAndy,2830,101,600,56.7,last 2 weeks
10,Oni.JorDan_AoE,2790,59,988,55.6,last 2 weeks
11,NOC | Nervkeks,2788,84,433,66.1,last 2 weeks
12,SleepySwede,2773,50,2328,67.2,last 2 weeks
13,Ondrej94,2769,56,1687,64.8,31–60 days
14,TAG_Sora Kuma,2732,135,257,49.0,last 2 weeks
15,OS+ | TeMo,2718,41,3684,58.3,last 2 weeks
16,Oni.DauT,2682,49,1709,53.8,last 2 weeks
17,TAG_Sitaux,2665,134,262,55.3,last 2 weeks
18,TAG_MbL_,2633,201,93,61.3,15–30 days
19,Oni.Vinchester,2620,140,239,53.1,last 2 weeks
20,Mununez,2594,36,5028,53.9,last 2 weeks
21,_LY_Yo,2591,141,221,43.9,last 2 weeks
22,RoR | Vodka_L_,2590,124,130,50.0,last 2 weeks
23,Zak,2576,66,1419,61.9,last 2 weeks
24,KASVA,2574,181,63,58.7,last 2 weeks
25,PUB | Fanjita,2572,80,594,55.4,last 2 weeks
26,TAG_Mihai06,2571,160,224,57.1,last 2 weeks
27,OS+ | NeoZz,2565,75,754,54.4,last 2 weeks
28,Oni.Kingstone,2564,108,406,49.5,last 2 weeks
29,m0re,2563,71,1074,52.7,last 2 weeks
30,wR.Fedex,2554,87,631,52.8,last 2 weeks
31,Somero,2550,43,3795,50.9,last 2 weeks
32,DS_StonePleaseAoE,2520,57,863,49.7,last 2 weeks
33,_LY_lyx,2509,193,112,40.2,31–60 days
34,CNZS_Daniel,2495,86,732,48.5,last 2 weeks
